 Data size 16384 and ranges [0 - 100000]
    
    Algorithm name:															Size	Total	Avg
    LinearAndSingleEqualCompareBinarySearch:								16384	237568	14.5
    LinearFor4ElementsAndSingleEqualCompareBinarySearch:					16384	237568	14.5
    LinearFor5ElementsAndSingleEqualCompareBinarySearch:					16384	237568	14.5
    LinearFor6ElementsAndSingleEqualCompareBinarySearch:					16384	237568	14.5
    LinearFor7ElementsAndSingleEqualCompareBinarySearch:					16384	237568	14.5
    LinearFor8ElementsAndSingleEqualCompareBinarySearch:					16384	237568	14.5
    SingleEqualCompareBinarySearch:											16384	245760	15
    LinearFor9ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearFor10ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearFor15ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearWMCAndSingleEqualCompareBinarySearch:								16384	253952	15.5
    LinearWMCFor4ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearWMCFor5ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearWMCFor6ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearWMCFor7ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    LinearWMCFor8ElementsAndSingleEqualCompareBinarySearch:					16384	253952	15.5
    QuickDescentAndLinearFor5ElementsAndSingleEqualCompareBinarySearch:		16384	253955	15.50018310546875
    QuickDescentAndLinearFor4ElementsAndSingleEqualCompareBinarySearch:		16384	253965	15.50079345703125
    QuickDescentAndLinearFor8ElementsAndSingleEqualCompareBinarySearch:		16384	253965	15.50079345703125
    QuickDescentAndLinearAndSingleEqualCompareBinarySearch:					16384	253979	15.50164794921875
    QuickDescentAndSingleEqualCompareBinarySearch:							16384	262171	16.00164794921875
    QuickDescentAndLinearFor9ElementsAndSingleEqualCompareBinarySearch:		16384	270226	16.4932861328125
    LinearWMCFor9ElementsAndSingleEqualCompareBinarySearch:					16384	270336	16.5
    LinearWMCFor10ElementsAndSingleEqualCompareBinarySearch:				16384	270336	16.5
    LinearWMCFor15ElementsAndSingleEqualCompareBinarySearch:				16384	270336	16.5
    QuickDescentAndLinearFor10ElementsAndSingleEqualCompareBinarySearch:	16384	270343	16.50042724609375
    QuickDescentAndLinearFor15ElementsAndSingleEqualCompareBinarySearch:	16384	270343	16.50042724609375
    LinearFor20ElementsAndSingleEqualCompareBinarySearch:					16384	303104	18.5
    LinearFor25ElementsAndSingleEqualCompareBinarySearch:					16384	303104	18.5
    LinearFor30ElementsAndSingleEqualCompareBinarySearch:					16384	303104	18.5
    LinearFor4ElementsAndCompareToMoreFirstBinarySearch:					16384	315409	19.25103759765625
    LinearFor5ElementsAndCompareToMoreFirstBinarySearch:					16384	315409	19.25103759765625
    LinearFor6ElementsAndCompareToMoreFirstBinarySearch:					16384	315409	19.25103759765625
    LinearFor7ElementsAndCompareToMoreFirstBinarySearch:					16384	315409	19.25103759765625
    QuickDescentAndLinearFor6ElementsAndCompareToMoreFirstBinarySearch:		16384	315540	19.259033203125
    QuickDescentAndLinearFor7ElementsAndCompareToMoreFirstBinarySearch:		16384	315540	19.259033203125
    QuickDescentAndLinearFor5ElementsAndCompareToMoreFirstBinarySearch:		16384	315541	19.25909423828125
    QuickDescentAndLinearFor4ElementsAndCompareToMoreFirstBinarySearch:		16384	315551	19.25970458984375
    QuickDescentAndLinearFor20ElementsAndSingleEqualCompareBinarySearch:	16384	319453	19.49786376953125
    LinearWMCFor20ElementsAndSingleEqualCompareBinarySearch:				16384	319488	19.5
    LinearWMCFor25ElementsAndSingleEqualCompareBinarySearch:				16384	319488	19.5
    LinearWMCFor30ElementsAndSingleEqualCompareBinarySearch:				16384	319488	19.5
    LinearAndCompareToMoreFirstBinarySearch:								16384	319504	19.5009765625
    QuickDescentAndLinearAndCompareToMoreFirstBinarySearch:					16384	319625	19.50836181640625
    LinearFor8ElementsAndCompareToMoreFirstBinarySearch:					16384	325644	19.875732421875
    LinearFor9ElementsAndCompareToMoreFirstBinarySearch:					16384	325652	19.876220703125
    LinearFor10ElementsAndCompareToMoreFirstBinarySearch:					16384	325652	19.876220703125
    LinearFor15ElementsAndCompareToMoreFirstBinarySearch:					16384	325652	19.876220703125
    QuickDescentAndLinearFor8ElementsAndCompareToMoreFirstBinarySearch:		16384	325803	19.88543701171875
    QuickDescentAndLinearFor9ElementsAndCompareToMoreFirstBinarySearch:		16384	325803	19.88543701171875
    QuickDescentAndLinearFor10ElementsAndCompareToMoreFirstBinarySearch:	16384	325810	19.8858642578125
    QuickDescentAndLinearFor11ElementsAndCompareToMoreFirstBinarySearch:	16384	325810	19.8858642578125
    QuickDescentAndLinearFor15ElementsAndCompareToMoreFirstBinarySearch:	16384	325810	19.8858642578125
    CompareToMoreFirstBinarySearch:											16384	327697	20.00103759765625
    CompareToLessFirstBinarySearch:											16384	327711	20.00189208984375
    QuickDescentAndCompareToMoreFirstBinarySearch:							16384	327830	20.0091552734375
    UnSafeQuickDescentBinarySearch:											16384	327830	20.0091552734375
    UniformBinaryInLineDeltaCalculation:									16384	360479	22.00189208984375
    LengthAdaptiveQuickDescentAndLinearAndCompareToMoreFirstBinarySearch2:	16384	366193	22.35064697265625
    LinearFor20ElementsAndCompareToMoreFirstBinarySearch:					16384	367643	22.43914794921875
    LinearFor25ElementsAndCompareToMoreFirstBinarySearch:					16384	367643	22.43914794921875
    LinearFor30ElementsAndCompareToMoreFirstBinarySearch:					16384	367643	22.43914794921875
    UnSafePointerBasedBinarySearch:											16384	367643	22.43914794921875
    LengthAdaptiveQuickDescentAndLinearAndCompareToMoreFirstBinarySearch:	16384	367829	22.45050048828125
    QuickDescentAndLinearFor20ElementsAndCompareToMoreFirstBinarySearch:	16384	367829	22.45050048828125
